"Vernon, Wisconsin",292.3
"Kent, Michigan",292.4
"Lewis, Idaho",292.4
"Union, Ohio",292.5
"Concho, Texas",292.7
"Jackson, Wisconsin",292.7
"Calhoun, Illinois",292.9
"Juneau, Alaska",292.9
"McLean, Illinois",292.9
"Walworth, Wisconsin",292.9
"Hancock, Iowa",293
"Mecklenburg, North Carolina",293
"Oakland, Michigan",293.1
"Knox, Maine",293.3
"Sheridan, Nebraska",293.4
"New Haven, Connecticut",293.5
"Keweenaw, Michigan",293.7
"Orange, New York",293.8
"Frederick, Virginia",294.1
"Flathead, Montana",294.3
"Howard, Nebraska",294.4
"Van Buren, Iowa",294.4
"Lake, Minnesota",294.6
"Kiowa, Kansas",294.7
"Riverside, California",294.8
"Clay, Minnesota",294.9
"Lee, Florida",295
"Maricopa, Arizona",295.1
"Adams, Nebraska",295.4
"Passaic, New Jersey",295.4
"Ransom, North Dakota",295.9
"Sarasota, Florida",295.9
"Lee, Texas",296
"Manitowoc, Wisconsin",296
"Otoe, Nebraska",296
"Nemaha, Kansas",296.1
"Dodge, Wisconsin",296.3
"Richmond, New York",296.3
"Burlington, New Jersey",296.5
"Ontario, New York",296.6
"Warren, Illinois",296.7
"Bandera, Texas",296.8
"Lewis, New York",296.8
"Mills, Texas",296.8
"Boone, Indiana",297
"Yellow Medicine, Minnesota",297.1
"Clark, Wisconsin",297.2
"Dolores, Colorado",297.2
"Yuma, Arizona",297.2
"Mercer, North Dakota",297.3
"Sussex, New Jersey",297.3
"Columbia, Georgia",297.5
"Mercer, New Jersey",297.5
"Manassas City, Virginia",297.6
"Winnebago, Iowa",297.7
"Essex, New York",297.8
"Johnson, Wyoming",297.8
"Warrick, Indiana",297.8
"Lincoln, Wyoming",297.9
"Sandoval, New Mexico",297.9
"Clark, South Dakota",298
"Seward, Nebraska",298
"Missoula, Montana",298.1
"Wallowa, Oregon",298.1
"Hudson, New Jersey",298.6
"Floyd, Iowa",298.7
"Rappahannock, Virginia",298.8
"Henrico, Virginia",298.9
"Washington, Colorado",299
"Wood, Ohio",299
"Rockbridge, Virginia",299.3
"Warren, New Jersey",299.3
"Madison, Montana",299.5
"Park, Wyoming",299.5
"Faribault, Minnesota",299.6
"Boone, Missouri",299.9
"Holmes, Ohio",299.9
"Charlevoix, Michigan",300
"Bennington, Vermont",300.1
"Otsego, New York",300.1
"Garfield, Nebraska",300.3
"Hansford, Texas",300.3
"Warren, New York",300.4
"Gosper, Nebraska",300.5
"Cavalier, North Dakota",300.7
"Indian River, Florida",300.7
"Allegan, Michigan",300.8
"Hanson, South Dakota",300.9
"Adams, Pennsylvania",301
"Maverick, Texas",301
"Herkimer, New York",301.2
"Lehigh, Pennsylvania",301.2
"Morrow, Oregon",301.2
"Alger, Michigan",301.3
"Shawano, Wisconsin",301.3
"Strafford, New Hampshire",301.3
"Christian, Missouri",301.6
"Broward, Florida",301.7
"Jefferson, Montana",301.8
"Sumter, Florida",302
"Aitkin, Minnesota",302.1
"Lincoln, Nevada",302.1
"Wrangell-Petersburg, Alaska",302.1
"Clay, Kansas",302.3
"Eaton, Michigan",302.5
"Brewster, Texas",302.7
"Kings, New York",302.7
"Wayne, New York",302.7
"Pondera, Montana",302.8
"Mackinac, Michigan",302.9
"McDonough, Illinois",302.9
"Greene, Ohio",303
"Hall, Nebraska",303.1
"Kootenai, Idaho",303.2
"Salt Lake, Utah",303.2
"Bonner, Idaho",303.3
"Cameron, Texas",303.3
"Harford, Maryland",303.4
"Sheridan, Kansas",303.4
"Calvert, Maryland",303.5
"Schuyler, Illinois",303.5
"Ogle, Illinois",303.6
"El Paso, Texas",303.7
"Glades, Florida",303.7
"Kane, Utah",303.9
"Albany, New York",304.3
"Clay, Iowa",304.4
"Snyder, Pennsylvania",304.4
"Buena Vista, Iowa",304.6
"Fairbanks North Star, Alaska",304.7
"Furnas, Nebraska",304.8
"Logan, North Dakota",304.8
"LaGrange, Indiana",305.1
"Yamhill, Oregon",305.2
"Yates, New York",305.2
"Comal, Texas",305.3
"Kingsbury, South Dakota",305.3
"Hawaii, Hawaii",305.5
"Carbon, Montana",305.6
"Henry, Illinois",305.6
"Pinal, Arizona",305.6
"Audubon, Iowa",305.7
"Butler, Pennsylvania",305.7
"Marshall, Kansas",305.7
"Barry, Michigan",305.8
"Custer, Nebraska",305.8
"De Witt, Illinois",305.9
"Ulster, New York",306
"Anne Arundel, Maryland",306.2
"Marion, Iowa",306.3
"Logan, Colorado",306.4
"Sanpete, Utah",306.4
"Winnebago, Wisconsin",306.4
"Bureau, Illinois",306.5
"Roanoke, Virginia",306.5
"Jefferson, Iowa",306.6
"Oconto, Wisconsin",306.6
"Crook, Oregon",306.8
"Osceola, Florida",306.8
"Montgomery, Iowa",307
"Lebanon, Pennsylvania",307.1
"Greene, Virginia",307.2
"Ohio, Indiana",307.2
"Cheshire, New Hampshire",307.3
"Marion, Kansas",307.4
"Park, Montana",307.4
"York, Pennsylvania",307.5
"Onondaga, New York",307.6
"Cayuga, New York",307.7
"Wyoming, New York",307.8
"Red Willow, Nebraska",308
"Schenectady, New York",308
"Wilson, Texas",308.1
"Guadalupe, Texas",308.2
"Kittson, Minnesota",308.2
"Piatt, Illinois",308.3
"Ellis, Kansas",308.6
"Hardin, Iowa",308.9
"Koochiching, Minnesota",308.9
"Zapata, Texas",309.2
"Bedford, Virginia",309.3
"Berks, Pennsylvania",309.3
"Polk, Wisconsin",309.3
"Wells, Indiana",309.3
"Box Elder, Utah",309.4
"Franklin, Pennsylvania",309.4
"Lincoln, Washington",309.4
"Fayette, Texas",309.5
"Steuben, Indiana",309.6
"Andrew, Missouri",309.7
"Lac qui Parle, Minnesota",309.7
"Augusta, Virginia",309.8
"Langlade, Wisconsin",309.8
"Norton, Kansas",309.8
"Big Stone, Minnesota",310
"Webster, Nebraska",310.1
"Chippewa, Minnesota",310.2
"Davison, South Dakota",310.2
"Colusa, California",310.3
"Houghton, Michigan",310.4
"Clay, Missouri",310.5
"Finney, Kansas",310.5
"Rio Blanco, Colorado",310.5
"Sutton, Texas",310.5
"Carroll, Iowa",310.6
"Washington, Iowa",310.8
"Columbia, New York",310.9
"Fairfield, Ohio",311.1
"Seneca, New York",311.1
"Solano, California",311.1
"Benzie, Michigan",311.2
"Grand Forks, North Dakota",311.2
"King George, Virginia",311.2
"Caledonia, Vermont",311.4
"Price, Wisconsin",311.6
"Madison, North Carolina",311.9
"Mariposa, California",311.9
"Judith Basin, Montana",312.2
"Orange, Florida",312.2
"Cass, Nebraska",312.5
"Polk, North Carolina",312.5
"Bristol, Massachusetts",312.6
"New Kent, Virginia",312.6
"Stone, Missouri",312.6
"Spotsylvania, Virginia",312.7
"Chippewa, Michigan",312.8
"Tama, Iowa",312.8
"Montrose, Colorado",312.9
"Butler, Iowa",313
"Shenandoah, Virginia",313
"Keokuk, Iowa",313.1
"Burnett, Wisconsin",313.4
"Bonneville, Idaho",313.5
"Prince George, Virginia",313.5
"Suffolk, Massachusetts",313.5
"Doniphan, Kansas",313.7
"Foster, North Dakota",313.7
"Granite, Montana",313.7
"Stillwater, Montana",313.9
"St. Mary's, Maryland",313.9
"Cerro Gordo, Iowa",314
"Oneida, Wisconsin",314
"Emmons, North Dakota",314.1
"Juniata, Pennsylvania",314.1
"Waldo, Maine",314.1
"Webb, Texas",314.1
"Boone, Kentucky",314.2
"Walsh, North Dakota",314.2
"Johnson, Illinois",314.5
"Meade, Kansas",314.5
"Franklin, Maine",314.7
"Haskell, Kansas",314.8
"Paulding, Georgia",314.8
"Fallon, Montana",314.9
"Erath, Texas",315
"Douglas, Illinois",315.2
"Lincoln, Wisconsin",315.3
"Ottawa, Ohio",315.3
"Archer, Texas",315.4
"Medina, Texas",315.4
"Warren, Missouri",315.6
"Dawson, Nebraska",315.9
"Flagler, Florida",315.9
"Osceola, Iowa",316
"Castro, Texas",316.1
"Auglaize, Ohio",316.2
"Crawford, Wisconsin",316.2
"Franklin, Vermont",316.3
"Leon, Florida",316.4
"Ford, Kansas",316.5
"Lewis and Clark, Montana",316.5
"Grant, Kansas",316.7
"Jasper, Illinois",316.8
"Broadwater, Montana",316.9
"Millard, Utah",316.9
"Carroll, Indiana",317
"Carlton, Minnesota",317.1
"Randall, Texas",317.2
"Washington, Illinois",317.3
"Barnes, North Dakota",317.4
"Highland, Virginia",317.4
"Camden, North Carolina",317.5
"Montgomery, Texas",317.6
"Sullivan, New Hampshire",317.6
"Wyandot, Ohio",317.6
"Sauk, Wisconsin",317.7
"Delta, Colorado",317.8
"Harvey, Kansas",317.8
"Monroe, Pennsylvania",317.8
"Kingman, Kansas",318
"Steuben, New York",318
"Mercer, Ohio",318.2
"Marquette, Michigan",318.3
"Montgomery, Virginia",318.4
"Cassia, Idaho",318.5
"Johnson, Indiana",318.6
"Beaver, Oklahoma",318.7
"Carson, Texas",318.8
"Lavaca, Texas",318.9
"Schuyler, New York",318.9
"Shelby, Alabama",318.9
"Culberson, Texas",319
"Griggs, North Dakota",319
"Union, New Mexico",319
"Williams, Ohio",319
"Dubois, Indiana",319.1
"Providence, Rhode Island",319.1
"Canyon, Idaho",319.2
"Renville, North Dakota",319.2
"Iron, Utah",319.3
"Grundy, Illinois",319.4
"Rawlins, Kansas",319.4
"Henderson, Illinois",319.6
"Coweta, Georgia",319.7
"Saunders, Nebraska",319.7
"Muscatine, Iowa",319.8
"Monroe, Indiana",320.2
"Calaveras, California",320.3
"Windham, Connecticut",320.4
"Menard, Illinois",320.6
"Perry, Missouri",320.7
"Tuolumne, California",320.7
"Wayne, Iowa",320.9
"Fayette, Iowa",321.2
"Polk, Iowa",321.3
"St. Louis, Missouri",321.3
"Wright, Iowa",321.3
"Ida, Iowa",321.4
"Lake, Oregon",321.4
"Pennington, South Dakota",321.4
"Wadena, Minnesota",321.4
"Dare, North Carolina",321.8
"Rensselaer, New York",321.9
"Columbia, Oregon",322.2
"Clinton, New York",322.3
"Lapeer, Michigan",322.3
"Hancock, Ohio",322.4
"Garrett, Maryland",322.5
"Poweshiek, Iowa",322.5
"Columbia, Washington",322.6
"Harlan, Nebraska",322.6
"Caldwell, Texas",322.7
"Lane, Oregon",323.1
"Portage, Ohio",323.3
"Black Hawk, Iowa",323.4
"Boyd, Nebraska",323.4
"Henderson, North Carolina",323.4
"Sherman, Oregon",323.4
"Austin, Texas",323.5
"Kent, Rhode Island",323.6
"Minnehaha, South Dakota",323.7
"Oxford, Maine",323.7
"Sweet Grass, Montana",323.7
"Morrill, Nebraska",324.1
"Charles Mix, South Dakota",324.2
"Inyo, California",324.3
"Coconino, Arizona",324.5
"Genesee, New York",324.5
"Ocean, New Jersey",324.5
"Douglas, South Dakota",324.6
"Baker, Georgia",324.7
"Fulton, Ohio",324.8
"Chesapeake City, Virginia",325
"Payette, Idaho",325.1
"New Hanover, North Carolina",325.2
"Palo Alto, Iowa",325.3
"Cole, Missouri",325.4
"Multnomah, Oregon",325.4
"Cass, Michigan",325.6
"Allegany, New York",325.7
"Racine, Wisconsin",325.7
"Rockdale, Georgia",325.7
"Shelby, Kentucky",325.7
"Blanco, Texas",325.8
"Valdez-Cordova, Alaska",325.8
"Spokane, Washington",325.9
"Val Verde, Texas",326.1
"Sanilac, Michigan",326.4
"Iowa, Wisconsin",326.5
"Pennington, Minnesota",326.5
"Crosby, Texas",326.8
"Rutland, Vermont",326.8
"Worcester, Maryland",326.8
"Dooly, Georgia",326.9
"Madison, Iowa",326.9
"Porter, Indiana",326.9
"Tillamook, Oregon",327
"Lenawee, Michigan",327.1
"O'Brien, Iowa",327.1
"Cherokee, Iowa",327.4
"Skamania, Washington",327.4
"Lee, Georgia",327.5
"Fredericksburg City, Virginia",327.6
"Linn, Oregon",327.6
"Orleans, New York",327.6
"Jackson, Oregon",327.7
"Clallam, Washington",328.1
"Amador, California",328.2
"Itasca, Minnesota",328.2
"Klickitat, Washington",328.2
"Posey, Indiana",328.3
"Brazoria, Texas",328.4
"Lake, Ohio",328.5
"Skagway-Hoonah-Angoon, Alaska",328.7
"Benton, Arkansas",328.8
"Goshen, Wyoming",328.9
"Jerome, Idaho",328.9
"Sussex, Delaware",329
"Webster, Georgia",329
"Windham, Vermont",329
"Parmer, Texas",329.3
"McPherson, Kansas",329.5
"Wayne, Ohio",330
"Pierce, Washington",330.1
"Dodge, Nebraska",330.2
"Spencer, Indiana",330.2
"Guilford, North Carolina",330.3
"Monongalia, West Virginia",330.3
"Wheeler, Georgia",330.3
"Butler, Nebraska",330.4
"Kalamazoo, Michigan",330.4
"Moore, North Carolina",330.4
